canonical_smiles,molecule_chembl_id,pIC50,relation,standard_relation,standard_type,standard_units,standard_value,type,units,value
COc1cc2c(cc1OC)CC(CC1CCN(Cc3ccccc3)CC1)=C2.Cl,CHEMBL543923,5.356547323513812,=,=,IC50,nM,4400.0,IC50,nM,4400.0
Cc1cc(COc2ccc(N3CC[C@H]([C@@H](C(=O)NO)N4CCCC4)C3=O)cc2)c2ccccc2n1,CHEMBL292546,7.585026652029182,=,=,IC50,nM,26.0,IC50,nM,26.0
CC(C)C[C@H](NC(=O)c1cc2ccccc2o1)C(=O)N[C@@H](CC(=O)O)C(=O)NC(C)(O)CC(N)=O,CHEMBL296847,5.638272163982407,=,=,IC50,nM,2300.0,IC50,uM,2.3
CP(=O)(O)C(O)CCN,CHEMBL112933,5.935542010773082,=,=,IC50,nM,1160.0,IC50,uM,1.16
COc1ccc(C#C/C(C)=C\CO/N=C2\CN3CCC2C3)cc1OC,CHEMBL160928,8.860120913598763,=,=,IC50,nM,1.38,IC50,nM,1.38
O=C(CCN1CCCCC1CO)Nc1ccc2c(c1)C(=O)c1ccc(NC(=O)CCN3CCCCC3CO)cc1C2=O,CHEMBL33801,6.301029995663981,=,=,IC50,nM,500.0,IC50,uM,0.5
CCCCc1nc(SC)c(C(=O)O)n1Cc1ccc(-c2ccccc2S(=O)(=O)NC(=O)NCc2ccccc2)cc1,CHEMBL84795,10.0,=,=,IC50,nM,0.1,IC50,nM,0.1
CNc1ccccc1-c1nc2c(=O)n(C)c(=O)n(CC(C)C)c2[nH]1,CHEMBL87925,5.0,>,>,IC50,nM,10000.0,IC50,uM,10.0
Cc1ccc2c(C(=O)Nc3ccccc3)c(SSc3c(C(=O)Nc4ccccc4)c4ccc(C)cc4n3C)n(C)c2c1,CHEMBL64459,4.017728766960432,=,=,IC50,nM,96000.0,IC50,uM,96.0
CC(C)CCNCc1cccc(C(=O)c2csc(S(N)(=O)=O)c2)c1.Cl,CHEMBL544355,8.045757490560675,=,=,IC50,nM,9.0,I50,M,9E-9
